::ffff:127.0.0.1 - - [18/Feb/2023:17:09:14 +0000] "GET /combined HTTP/1.1" 404 147 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/110.0"
::1 - - [18/Feb/2023:17:10:30 +0000] "GET /api/promotion HTTP/1.1" 404 152 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:19:53 +0000] "GET /api/promotion HTTP/1.1" 200 26 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:23:16 +0000] "POST /api/promotion HTTP/1.1" 200 306 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:23:32 +0000] "POST /api/promotion HTTP/1.1" 200 306 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:23:34 +0000] "POST /api/promotion HTTP/1.1" 200 306 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:23:37 +0000] "GET /api/promotion HTTP/1.1" 200 874 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:25:53 +0000] "PUT /api/promotion/63f10984f7796226d1a42d18 HTTP/1.1" 400 28 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:25:59 +0000] "GET /api/promotion/63f10984f7796226d1a42d18 HTTP/1.1" 400 28 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:26:09 +0000] "GET /api/promotion/ HTTP/1.1" 200 874 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:26:19 +0000] "GET /api/promotion/63f10984f7796226d1a42d18 HTTP/1.1" 400 28 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:28:52 +0000] "GET /api/promotion/63f10984f7796226d1a42d18 HTTP/1.1" 400 28 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:28:53 +0000] "GET /api/promotion/63f10984f7796226d1a42d18 HTTP/1.1" 400 28 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:28:56 +0000] "GET /api/promotion/63f10984f7796226d1a42d18 HTTP/1.1" 400 28 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:28:59 +0000] "GET /api/promotion/63f10984f7796226d1a42d18 HTTP/1.1" 400 28 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:29:01 +0000] "GET /api/promotion/63f10984f7796226d1a42d18 HTTP/1.1" 400 28 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:29:04 +0000] "GET /api/promotion/63f10984f7796226d1a42d18 HTTP/1.1" 400 28 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:29:05 +0000] "GET /api/promotion/63f10984f7796226d1a42d18 HTTP/1.1" 400 28 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:29:06 +0000] "GET /api/promotion/63f10984f7796226d1a42d18 HTTP/1.1" 400 28 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:29:12 +0000] "GET /api/promotion/ HTTP/1.1" 200 874 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:29:20 +0000] "GET /api/promotion/63f10984f7796226d1a42d18 HTTP/1.1" 400 28 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:33:53 +0000] "GET /api/users HTTP/1.1" 200 1621 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:33:59 +0000] "GET /api/users/63ea5be974a39389494cf86e HTTP/1.1" 200 226 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:34:04 +0000] "GET /api/users/63ea5be974a39389494cf86e HTTP/1.1" 200 226 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:34:22 +0000] "GET /api/promotion/ HTTP/1.1" 200 874 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:34:38 +0000] "GET /api/promotion/63f10994f7796226d1a42d1a HTTP/1.1" 400 28 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:44:53 +0000] "GET /api/promotion/ HTTP/1.1" 200 874 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:45:05 +0000] "GET /api/promotion/63f10996f7796226d1a42d1c HTTP/1.1" 400 28 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:46:26 +0000] "GET /api/promotion/63f10996f7796226d1a42d1c HTTP/1.1" 400 28 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:46:27 +0000] "GET /api/promotion/63f10996f7796226d1a42d1c HTTP/1.1" 400 28 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:46:29 +0000] "GET /api/promotion/63f10996f7796226d1a42d1c HTTP/1.1" 400 28 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:46:30 +0000] "GET /api/promotion/63f10996f7796226d1a42d1c HTTP/1.1" 400 28 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:46:36 +0000] "GET /api/promotion/63f10996f7796226d1a42d1c HTTP/1.1" 400 28 "-" "PostmanRuntime/7.29.2"
